Thời gian,Tiêu đề,URL,Nội dung
2022-12-30 13:43:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài,https://cafef.vn/du-lieu/dgc-344690/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai.chn,
2022-12-26 00:14:00,"Bí mật của Hóa chất Đức Giang: Làm thế nào để dù thị trường có sập, mình vẫn có lãi?",https://cafef.vn/du-lieu/dgc-347546/bi-mat-cua-hoa-chat-duc-giang-lam-the-nao-de-du-thi-truong-co-sap-minh-van-co-lai.chn,
2022-12-20 11:28:00,"Nhiều doanh nghiệp chốt danh sách, chi hàng trăm tỷ trả cổ tức bằng tiền mặt trong tuần này, 2 DN dẫn đầu trả cổ tức tỷ lệ 100% và 60%",https://cafef.vn/du-lieu/dgc-349883/nhieu-doanh-nghiep-chot-danh-sach-chi-hang-tram-ty-tra-co-tuc-bang-tien-mat-trong-tuan-nay-2-dn-dan-dau-tra-co-tuc-ty-le-100-va-60.chn,
2022-12-16 17:37:00,DGC: Báo cáo thay đổi về sở hữu của nhóm NĐTNN có liên quan là cổ đông lớn,https://cafef.vn/du-lieu/dgc-350768/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-ndtnn-co-lien-quan-la-co-dong-lon.chn,
2022-12-14 15:38:00,"Thị giá tăng mạnh từ đáy, Dragon Capital tiếp tục mua gom 2 cổ phiếu hóa chất và bán lẻ",https://cafef.vn/du-lieu/dgc-352160/thi-gia-tang-manh-tu-day-dragon-capital-tiep-tuc-mua-gom-2-co-phieu-hoa-chat-va-ban-le.chn,
2022-12-14 14:37:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài,https://cafef.vn/du-lieu/dgc-352217/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai.chn,
2022-12-07 10:02:00,"DGC: 19.12.2022, ngày GDKHQ tạm ứng cổ tức năm 2022 (3.000 đ/cp)",https://cafef.vn/du-lieu/dgc-355100/dgc-19122022-ngay-gdkhq-tam-ung-co-tuc-nam-2022-3000-dcp.chn,
2022-11-30 16:40:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài,https://cafef.vn/du-lieu/dgc-358112/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai.chn,
2022-11-28 11:12:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,https://cafef.vn/du-lieu/dgc-359588/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai-co-lien-quan-la-co-dong-lon.chn,
2022-11-23 17:04:00,DGC: Báo cáo thay đổi về sở hữu của nhóm NĐTNN có liên quan là cổ đông lớn 22/11/2022,https://cafef.vn/du-lieu/dgc-361214/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-ndtnn-co-lien-quan-la-co-dong-lon-22112022.chn,
2022-11-23 17:00:00,DGC: Báo cáo thay đổi về sở hữu của nhóm NĐTNN có liên quan là cổ đông lớn 23/11/2022,https://cafef.vn/du-lieu/dgc-361220/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-ndtnn-co-lien-quan-la-co-dong-lon-23112022.chn,
